#Galaxy	N	log(L_V/L_sun)	error	log(M_*/M_sun)	error	[Fe/H]	error	
NGC205		0.03293413173652695	8.52	0.05	8.67	0.05	-0.92	0.13
NGC185		0.022727272727272728	7.83	0.05	7.83	0.05	-1.12	0.36
NGC147		0.018433179723502304	7.79	0.05	8.00	0.05	-0.83	0.25
AndromedaVII	0.051094890510948905	7.22	0.13	7.17	0.13	-1.62	0.21
AndromedaII	0.1267605633802817	6.96	0.08	6.96	0.08	-1.47	0.37
AndromedaI	0.038461538461538464	6.68	0.05	6.88	0.05	-1.33	0.17
AndromedaIII	0.046875	6.00	0.12	6.26	0.12	-1.84	0.05
AndromedaV	0.047058823529411764	5.75	0.09	5.79	0.09	-1.94	0.18
AndromedaXVIII	0.05555555555555555	5.70	0.30	5.90	0.30	-1.35	0.20
AndromedaXV	0.05263157894736842	5.68	0.16	5.89	0.16	-1.70	0.20
AndromedaXIV	0.0425531914893617	5.37	0.30	5.58	0.30	-2.21	0.01
AndromedaIX	0.03125	5.18	0.44	5.38	0.44	-1.93	0.20
AndromedaX	0.037037037037037035	4.94	0.40	5.15	0.40	-2.46	0.20
