#Galaxy	N	log(L_V/L_sun)	error	log(M_*/M_sun)	error	[Fe/H]	error	
Fornax		672	7.31	0.14	7.39	0.14	-1.04	0.01
LeoI	  	814	6.74	0.13	6.69	0.13	-1.45	0.01
Sculptor  	375	6.36	0.21	6.59	0.21	-1.68	0.01
Leo~II	  	256	5.87	0.13	6.07	0.13	-1.63	0.01
Sextans	  	123	5.64	0.20	5.84	0.20	-1.94	0.01
UrsaMinor 	190	5.45	0.20	5.73	0.20	-2.13	0.01
Draco	  	269	5.43	0.10	5.51	0.10	-1.98	0.01
CanesVenaticiI	151	5.36	0.09	5.48	0.09	-1.91	0.01
Hercules	19	4.56	0.14	4.57	0.14	-2.39	0.04
UrsaMajorI	28	4.15	0.13	4.28	0.13	-2.10	0.03
LeoIV		9	3.94	0.16	3.93	0.15	-2.45	0.07
CanesVenaticiII	14	3.90	0.20	3.90	0.20	-2.12	0.05
UrsaMajorII	11	3.60	0.23	3.73	0.23	-2.18	0.05
ComaBerenices	19	3.57	0.22	3.68	0.22	-2.25	0.04
Segue2		8	2.93	0.13	3.14	0.13	-2.14	0.05
