#      mu_0              M_B	
# M_V = 1.0345*M_B - 0.2752
# mu_0_V = mu_0 - (M_B - M_V) = mu_0 + 0.0345*M_B - 0.2752
      22.024432     -14.639259
      22.534270     -13.599259
      20.276973     -16.145926
      24.122162     -13.825926
      22.833946     -13.385926
      23.553946     -14.099259
      17.778378     -16.492593
      24.663135     -13.479259
      21.277189     -16.652593
      23.164757     -14.059259
      21.234378     -15.572593
      18.078054     -16.312593
      23.912000     -13.585926
      24.110486     -13.565926
      20.716757     -15.759259
      21.374486     -14.659259
      23.343784     -14.325926
      23.491676     -13.439259
      20.767351     -14.205926
      22.394162     -13.459259
      24.382919     -13.025926
      19.066595     -15.985926
      22.693838     -13.745926
      22.954595     -13.665926
      21.195459     -14.599259
      21.744216     -14.639259
      20.327568     -16.452593
      18.739676     -15.179259
      22.184000     -14.912593
      22.514811     -13.699259
      23.573405     -12.732593
      18.798054     -14.659259
      21.035892     -13.725926
      19.358486     -16.885926
      23.215351     -14.265926
      22.483676     -14.099259
      20.635027     -14.892593
      21.417297     -15.985926
      21.456216     -15.219259
      19.837189     -16.352593
      21.304432     -14.585926
      22.584865     -13.885926
      22.565405     -13.585926
      22.215135     -13.719259
      20.175784     -15.619259
      24.153297     -13.332593
      19.946162     -16.392593
      23.133622     -13.645926
      23.483892     -13.845926
      21.506811     -12.765926
      22.654919     -12.985926
      21.436757     -14.919259
      19.798270     -15.479259
      24.573622     -13.005926
      23.215351     -13.332593
      22.503135     -13.525926
      17.867892     -16.105926
      25.239135     -13.252593
      21.845405     -14.792593
      20.996973     -14.465926
      18.331027     -16.332593
      21.526270     -15.019259
      23.682378     -13.145926
      22.853405     -12.892593
      25.032865     -13.759259
      22.654919     -14.279259
      21.736432     -15.192593
      19.556973     -17.145926
      23.581189     -13.385926
      25.262486     -13.459259
      19.136649     -15.059259
      21.347243     -14.832593
      21.234378     -14.085926
      20.148541     -14.792593
      22.055568     -15.845926
      23.912000     -13.485926
      19.868324     -14.205926
      19.257297     -15.212593
      21.024216     -14.939259
      19.926703     -14.285926
      23.421622     -13.599259
      20.467676     -14.652593
      21.985514     -14.699259
      20.335351     -14.225926
      19.198919     -15.459259
      22.845622     -12.772593
      22.674378     -14.279259
      23.363243     -13.052593
      22.464216     -15.019259
      23.604541     -14.005926
      23.744649     -14.879259
      22.915676     -14.585926
      21.207135     -16.185926
      21.253838     -14.559259
      25.021189     -12.825926
      21.825946     -13.425926
      22.713297     -14.732593
      23.262054     -13.105926
      20.245838     -14.912593
      22.234595     -14.219259
      24.180541     -14.199259
      23.184216     -12.925926
      20.175784     -15.199259
      23.203676     -13.252593
      21.436757     -14.239259
      22.152865     -14.245926
      22.285189     -14.539259
      18.988757     -15.872593
      22.004973     -14.179259
