#Name	mu_0	M_V	R_e	Mstar	sig_star	MHI	v_rot	Mdyn	FeH
#			pc	1e6Msol	km/s		1eMsol	km/s	1e6Msol
#Table 3 from McConnachie 2012
#v_rot is of HI if available, of stars otherwise
#Mdyn is the dynamical mass within R_e
CanisMa	24	-14.4	-99	49	20	-99	-99	-99	-0.5
SagD	25.2	-13.5	2587	21	11.4	-99	-99	0.26	-0.4
Bootes	27.5	-6.3	242	0.029	2.4	-99	-99	0.81	-2.55
Draco	25	-8.8	221	0.29	9.1	-99	-99	11	-1.93
UrsaMi	26	-8.8	181	0.29	9.5	-99	-99	9.5	-2.13
Sculpt	23.5	-11.1	283	2.3	9.2	-99	-99	14	-1.68
Sextans	27.1	-9.3	695	0.44	7.9	-99	-99	25	-1.93
Carina	25.5	-9.1	250	0.38	6.6	-99	-99	6.3	-1.72
Hercul	27.2	-6.6	330	0.037	3.7	-99	-99	2.6	-2.41
Fornax	23.3	-13.4	710	20	11.7	-99	-99	56	-0.99
CanVen	27.1	-8.6	564	0.23	7.6	-99	-99	19	-1.98
LeoII	24.2	-9.8	176	0.74	6.6	-99	-99	4.6	-1.62
LeoI	22.6	-12	251	5.5	9.2	-99	-99	12	-1.43
AndIX	28	-8.1	557	0.15	4.5	-99	-99	6.5	-2.2
AndXVII	25.7	-8.7	286	0.26	-99	-99	-99	-99	-1.9
AndI	24.7	-11.7	672	3.9	10.6	-99	-99	44	-1.45
AnXXVII	27.6	-7.9	434	0.12	-99	-99	-99	-99	-1.7
AndIII	24.8	-10	479	0.83	4.7	-99	-99	6.1	-1.78
AndXXV	27.1	-9.7	709	0.68	-99	-99	-99	-99	-1.8
AndXXVI	27.4	7.1	222	0.06	-99	-99	-99	-99	-1.9
AndXI	26.5	-6.9	157	0.049	4.6	-99	-99	1.9	-2.0
AndV	25.3	-9.1	315	0.39	11.5	-99	-99	-99	-1.6
AndX	26.3	-7.6	265	0.096	3.9	-99	-99	2.3	-1.93
AnXXIII	28	-10.2	1029	1.1	-99	-99	-99	-99	-1.8
AndXX	26.2	-6.3	124	0.029	-99	-99	-99	-99	-1.5
AndXII	28.5	-6.4	304	0.031	2.6	-99	-99	1.2	-2.1
NGC147	21.2	-14.6	623	62	16	-99	17	93	-1.1
AndXXI	27	-9.9	875	0.76	-99	-99	-99	-99	-1.8
AndXIV	27.2	-8.4	363	0.2	5.4	-99	-99	6.1	-2.26
AndXV	24.8	-9.4	222	0.49	11	-99	-99	16	-1.8
AndXIII	27.3	-6.7	207	0.041	9.7	-99	-99	11	-1.9
AndII	24.5	-12.4	1176	7.6	7.3	-99	-99	36	-1.64
NGC185	20.8	-14.8	458	68	24	0.11	15	150	-1.3
AndXXIX	27.6	-8.3	361	0.18	-99	-99	-99	-99	-1.8
AndXIX	29.3	-9.2	1683	0.43	-99	-99	-99	-99	-1.9
AndXXIV	27.8	-7.6	367	0.093	-99	-99	-99	-99	-1.8
AndVII	23.2	-12.6	776	9.5	9.7	-99	-99	42	-1.4
AndXXII	26.7	-6.5	217	0.034	-99	-99	-99	-99	-1.8
IC10	24.6	-15	612	86	-99	50	34	-99	-1.28
LGS3	24.8	-10.1	470	0.96	7.9	0.38	5	17	-2.1
AndVI	24.1	-11.3	524	2.8	9.4	-99	-99	-99	-1.3
AndXVI	23.9	-9.2	136	0.41	-99	-99	-99	-99	-2.1
AXXVIII	26.3	-8.5	213	0.21	-99	-99	-99	-99	-99
IC1613	22.8	-15.2	1496	100	-99	65	5.9	-99	-1.6
Phoenix	25.8	-9.9	454	0.77	-99	0.12	-99	-99	-1.37
NGC6822	19.7	-15.2	354	100	-99	65	5.9	-99	-1
Cetus	25	-11.2	703	2.6	17	-99	7.7	120	-1.9
Pegasus	22.8	-12.2	562	6.61	-99	5.9	21	-99	-1.4
LeoT	24.8	-8	120	0.14	7.5	0.28	-99	3.9	-1.99
WLM	23.7	-14.2	2111	43	2	61	30	380	-1.27
LeoA	22.8	-12.1	499	6.0	9.3	11	-99	25	-1.4
AdXVIII	25.6	-9.7	363	0.63	-99	-99	-99	-99	-1.8
Aquar	23.6	-10.6	458	1.6	-99	4.1	-99	-99	-1.3
Tucana	25	-9.5	284	0.56	15.8	-99	-99	41	-1.95
SagD	23.9	-11.5	282	3.5	-99	8.8	-99	-99	-2.1
UGC4879	21.2	-12.5	162	8.3	-99	0.95	-99	-99	-1.5
NGC3109	22.6	-14.9	1626	76	-99	450	72.4	-99	-1.84
SextB	21.9	-14.5	440	52	-99	51	71	-99	-99
Antlia	23.9	-10.4	471	1.3	-99	0.73	-99	-99	-1.6
SextA	22.8	-14.3	1029	44	-99	77	20	-99	-1.85
KKR25	24.0	-10.5	222	1.4	-99	-99	-99	-99	-2.1
ESO410	22.2	-11.5	280	3.5	-99	0.73	-99	-99	-1.93
ESO294	22.3	-11.2	248	2.7	-99	0.34	-99	-99	-1.48
IC5152	20.1	-15.6	550	270	-99	87	-99	-99	-99
KKH98	22.8	-11.8	470	4.5	-99	6.6	-99	-99	-1.94
UKS2323	22.9	-13.2	578	17	-99	17	-99	-99	-1.68
KKR3	23.8	-9.5	229	0.54	-99	2.5	-99	-99	-2.02
GR8	22.6	-12.2	203	6.4	-99	11	-99	-99	-99
UGC9128	22.6	-12.4	427	7.8	-99	18	56	-99	-2.33
UGC8508	21.5	-13.4	315	19	-88	29	31.2	-99	-1.91
IC3104	23.3	-14	1327	62	-99	13	-99	-99	-99
DDO125	22.1	-14.4	781	47	-99	35	11.2	-99	-1.73
UGCA86	22.8	-13.2	811	16	-99	860	122	-99	-99
DDO99	22.9	-13.2	679	16	-99	52	-99	-99	-2.13
IC4662	18.7	-15.8	341	190	-99	180	-99	-99	-1.34
DDO190	21.4	-14.4	520	51	-99	43	24.7	-99	-2.00
KKH86	23.2	-10	210	0.82	-99	0.88	-99	-99	-2.33
NGC4163	21.1	-14.1	374	37	-99	7.9	8.7	-99	-1.65
DDO113	24	-11	601	2.1	-99	48	-99	-99	-1.99
