#Name		type	M_V	M_star	M_HI	DHost	r_h	tau70	fossil
AndromedaI	dSph	-11.7	3.9	0.0	58	672	9.88	RG05	
AndromedaII	dSph	-12.4	7.6	0.0	184	1176	9.79	RG05	
AndromedaIII	dSph	-10.0	0.83	0.0	75	479	9.94	RG05, BR11a	
AndromedaV	dSph	-9.1	0.39	0.0	110	315	10.0		
AndromedaVI	dSph	-11.3	2.8	0.0	269	524	9.93	RG05	
AndromedaXI	dSph	-6.9	0.049	0.0	104	157	10.11	BR11a	
AndromedaXII	dSph	-6.4	0.031	0.0	133	304	9.79	BR11a	
AndromedaXIII	dSph	-6.7	0.041	0.0	180	207	10.11	BR11a	
Carina		dSph	-9.1	0.38	0.0	107	250	9.56		
CanesVenaticiI	dSph	-8.6	0.23	0.0	218	564	9.97	BR11a	
CanesVenaticiII	dSph	-4.9	0.0079	0.0	161	74	10.0	BR11a	
Draco	dSph	-8.8	0.29	0.0	76	221	10.03	RG05, BR11a	
Fornax	dSph	-13.4	20.0	0.0	149	710	9.67		
Hercules	dSph	-6.6	0.037	0.0	126	330	10.11	BR11a	
IC10	dIrr	-15.0	86.0	50.0	252	612	9.36		
IC1613	dIrr	-15.2	100.0	65.0	520	1496	9.4		
LeoA	dIrr	-12.1	6.0	11.0	803	499	9.3		
LeoI	dSph	-12.0	5.5	0.0	258	251	9.45		
LeoII	dSph	-9.8	0.74	0.0	236	176	9.83		
LeoIV	dSph	-5.8	0.019	0.0	155	206	10.07	BR11a	
LeoT	dTrans	-8.0	0.14	0.28	422	120	9.81	BR11a	
LGS3	dTrans	-10.1	0.96	0.38	269	470	10.01		
M32	dE	-16.4	320.0	0.0	23	110	9.79		
NGC147	dE	-14.6	62.0	0.0	142	623	9.76		
NGC185	dE	-14.8	68.0	0.11	187	42	9.92		
NGC205	dE	-16.5	330.0	0.4	42	590	9.9		
NGC6822	dIrr	-15.2	100.0	130.0	452	354	9.36		
PegDIG	dTrans	-12.2	6.61	5.9	474	562	9.36		
Phoenix	dTrans	-9.9	0.77	0.12	415	454	9.86	RG05, BR11a	
SagDIG	dIrr	-11.5	3.5	8.8	1059	282	9.67		
Sagittarius	dSph	-13.5	21.0	0.0	18	2587	9.6		
Sculptor	dSph	-11.1	2.3	0.0	89	283	10.06	RG05	
SexA	dIrr	-14.3	44.0	77.0	1435	1029	9.81		
SexB	dIrr	-14.4	52.0	51.0	1430	440	9.9		
Tucana	dSph	-9.5	0.56	0.0	882	284	9.84	RG05, BR11a	
UrsaMinor	dSph	-8.8	0.29	0.0	78	181	9.98	RG05, BR11a	
WLM	dIrr	-14.2	43.0	61.0	836	2111	9.28		
