#W50	logMHI	logMdyn
#From Adams et al. 2013
21	5.74	7.74
21	5.48	7.64
21	5.2	7.18
23	5.28	7.48
27	5.22	7.54
34	5.97	8.19
22	6.02	7.67
27	6.21	7.97
23	5.69	7.40
20	5.82	7.51
24	5.19	7.43
26	5.62	7.82
15	5.24	6.99
20	6.07	7.49
20	5.12	7.13
27	6.3	7.96
36	5.69	8.01
18	5.33	7.21
24	5.55	7.6
17	5.22	7.24
23	5.03	7.24
54	5.34	7.91
21	5.33	7.32
15	5.59	7.33
28	5.44	7.80
26	6.12	7.7
29	5.35	7.5
23	5.6	7.78
16	5.17	6.83
26	5.47	7.65
43	5.42	8.11
20	5.50	7.43
40	5.53	7.77
32	5.42	7.92
38	5.22	7.70
24	5.50	7.57
23	5.50	7.36
17	5.37	7.25
21	5.22	7.29
23	5.68	7.48
25	5.56	7.41
37	5.65	7.81
29	5.43	7.57
20	5.54	7.48
62	5.80	8.35
42	5.87	8.11
17	5.82	7.28
23	5.48	7.51
21	5.79	7.71
22	5.37	7.40
23	5.54	7.62
17	5.62	7.23
24	5.49	7.52
21	5.39	7.52
28	5.60	7.81
26	5.57	7.59
22	5.20	7.23
19	5.11	7.23
17	5.63	7.22
