#Name	M_B	O	N	BmV	select	logMstar	logMHI
#	mag	12+log(O/H)	log(N/O)	B-V
#Taken from Berg et al. 2012 and Skillman et al. 2013
LeoP	-9.05	7.17	-1.36	0.36	1	5.76	5.97
UGC521	-15.16	7.67	-1.61	0.34	0	7.96	-99
UGC695	-15.13	7.69	-1.49	0.45	0	8.08	-99
UGC1056	-15.09	7.97	-1.49	0.57	0	8.62	-99
UGC1176	-15.48	7.97	-1.40	0.31	0	8.48	-99
NGC784	-16.50	7.97	-1.54	0.40	1	8.48	-99
UGC2716	-15.31	7.97	-1.47	0.31	0	8.13	-99
NGC2537	-17.14	8.14	-1.04	0.72	0	9.10	-99
UGC4278	-16.36	7.69	-1.60	0.35	0	8.50	-99
NGC2552	-16.72	8.15	-1.16	0.43	0	8.69	-99
UGC4393	-17.67	8.02	-1.15	0.60	0	9.43	-99
UGC5139	-14.42	7.92	-1.56	0.36	1	7.39	-99
IC559	-14.12	8.07	-1.47	0.48	0	7.86	-99
UGC5272	-14.98	7.87	-1.59	0.37	0	8	-99
UGC5340	-15.83	7.20	-1.60	0.13	0	7.97	-99
UGC5423	-13.77	7.78	-1.33	0.48	0	7.77	-99
UGC5797	-14.56	7.96	-1.35	0.46	0	7.75	-99
UGC5923	-14.70	7.79	-1.30	0.66	0	8.29	-99
NGC3738	-16.51	8.04	-1.34	0.39	1	8.5	-99
NGC3741	-13.18	7.68	-1.61	0.31	1	7.24	8.45
UGC6817	-13.70	7.53	-1.53	0.30	1	6.97	-99
NGC4163	-13.65	7.56	-1.49	0.44	1	7.56	6.90
CGCG269	-10.83	7.47	-1.57	0.28	1	5.9	-99
UGC7577	-14.12	7.97	-1.37	0.48	1	7.5	-99
NGC4449	-18.02	8.26	-1.36	0.37	1	9.25	-99
UGC7605	-13.49	7.66	-1.54	0.29	1	7.12	-99
NGC4656	-18.75	8.09	-1.66	0.42	0	9.04	-99
UGC8201	-15.17	7.80	-1.77	0.24	1	7.82	-99
UGC8508	-13.03	7.76	-1.60	0.37	1	7.28	7.46
UGC8638	-13.77	7.95	-1.53	0.47	1	7.57	-99
UGC8837	-15.92	7.87	-1.43	0.42	0	8.41	-99
NGC5477	-15.22	7.95	-1.56	0.34	0	8.15	-99
WLM	-13.5	7.83	-1.49	0.46	1	7.63	7.79
NGC55	-18.20	8.05	-1.26	0.55	1	9.34	9.11
UGC668	-13.61	7.62	-1.51	0.40	1	7.14	-99
NGC1705	-15.77	8.21	-1.75	0.38	1	8.19	-99
NGC2366	-15.95	7.91	-1.17	0.32	1	8.15	-99
UGC4305	-16.11	7.92	-1.52	0.19	1	8.48	-99
UGC4459	-12.93	7.82	-1.32	0.46	1	7.15	-99
LeoA	-10.91	7.30	-1.53	0.24	1	6.78	7.04
SexB	-13.54	7.53	-1.49	0.40	1	7.72	7.71
SexA	-13.62	7.54	-1.54	0.24	1	7.64	7.89
UGC5666	-16.81	7.93	-1.45	0.34	1	8.62	-99
NGC4214	-17.15	8.22	-1.32	0.40	1	8.83	-99
UGC8091	-11.76	7.65	-1.51	0.27	1	6.55	-99
IC5152	-15.47	7.92	-1.05	0.41	1	8.43	7.94
SMC	-16.04	7.96	-1.55	0.45	1	8.66	8.66
UGC685	-14.13	8.00	-1.45	0.60	1	7.71	-99
NGC625	-16.28	8.08	-1.25	0.59	1	8.80	-99
LMC	-17.68	8.26	-1.30	0.51	1	9.18	8.66
UGC4483	-12.71	7.56	-1.57	0.15	1	6.42	-99
UGC6541	-13.51	7.82	-1.45	0.42	1	7.30	-99
UGCA292	-11.52	7.30	-1.45	0.07	1	6.68	-99
UGC8651	-13.13	7.85	-1.60	0.36	1	7.19	-99
UGC9128	-12.12	7.75	-1.80	0.31	1	6.89	7.26
UGC9240	-13.89	7.95	-1.60	0.43	1	7.47	-99
UGCA442	-14.34	7.72	-1.41	0.38	1	7.56	-99
KDG61	-12.83	8.35	-99	-99	1	6.32	6.2
