# V_f log(M_star) log(M_gas)	
# data taken from McGaugh 2012
15  5.76  6.10
17  5.46  6.03
17  5.88  6.64
12  5.08  5.57
20  6.99  7.33
20  6.81  7.45
25  7.24  7.54
27  6.94  7.30
29  6.76  7.32
30  7.26  7.56
31  6.67  7.85
35  7.72  7.93
37  7.78  8.32
37  7.58  7.96
38  7.34  7.75
38  7.34  8.02
40  7.57  7.78
41  7.20  7.56
44  7.24  8.45
45  6.97  7.94
53  6.88  8.29
54  8.07  8.74
56  7.28  7.85
58  8.25  8.46
59  7.63  8.62
59  7.77  8.58
60  8.45  9.09
64  8.12  9.21
66  7.41  8.79
66  8.09  9.02
68  7.41  9.06
68  8.94  9.20
72  9.22  9.28
74  8.75  9.32
77  8.70  9.23
78  8.36  8.96
79  8.17  9.05
83  8.30  9.04
83  9.00  9.33
84  8.96  9.32
84  7.99  8.78
90  8.98  9.27
95  8.92  9.01
108 9.53  9.74
111 9.41  9.63
118 9.50  9.87
120 9.62  9.71
124 9.38  9.65
134 9.61  9.77
149 10.12  10.29
