#name	mu0	M_B	BmV	VmI	alpha	type
Haro15	18.93	-20.69	0.33	0.72	1.37	3
UM417	22.41	-14.79	0.28	-99	0.45	4
Mrk370	22.56 	-17.20	0.47	0.96	1.06	2
Mrk600	21.70	-15.77	0.26	0.66	0.4	2
Cam0341	19.94	-17.27	0.36	0.70	0.53	3
Mrk1089	19.67	-19.27	0.01	0.29	1.38	3
Mrk1090	18.83	-18.16	0.03	0.4	0.47	2
IIZw33	20.14	-18.21	0.7	1.02	0.68	2
IIZw40	21.33	-17.11	0.48	0.26	0.62	3
Mrk5	21.09	-15.37	0.51	0.7	0.31	4
Haro1	19.40	-20.87	0.49	0.78	1.36	1
Mrk86	21.52	-16.96	0.69	0.89	0.6	2
Mrk401	22.57	-17.93	-99	-99	1.33	6
Mrk33	23.30	-18.10	0.41	0.85	1.67	1
Mrk35	22.5	-17.50	0.61	0.76	0.82	2
Mrk36	22.06	-14.13	0.35	0.13	0.17	2
UM462	22.81	-16.07	0.46	0.24	0.60	2
IIZw70	22.55	-16.31	0.41	0.56	0.54	5
IIZw71	21.06	-16.77	0.56	0.66	0.59	5
IZw123	21.23 	-14.75	0.54	0.76	0.17	1
Mrk297	22.30	-20.54	0.41	0.8	2.48	2
HL293B	20.76	-14.37	0.46	0.11	0.18	1
Mrk314	21.66	-18.55	-99	-99	1.19	2
Mrk527	22.45	-20.15	0.49	1.03	3.29	6
IIIZw2	19.77	-19.45	0.74	-99	1.1	1
Mrk324	21.07	-16.65	0.56	0.66	0.37	2
IIIZw7	22.41	-19.49	0.56	0.72	3.00	3

#alpha in kpc
#type:
#1 = nE
#2 = iE
#3 = iI,M
#4 = iI,C
#5 = iI
#6 = SB
