#Mhalf	M/Lhalf	Vchalf
#1e7Msol	Msol/Lsol	km/s
5.05	22.4	16.1
3.31	27.6	12.3
1.95	39	14.7
2.3	78	16.6
4.67	27.5	19.5
7.61	9	20.5
2.25	302	17.2
0.46	61.2	10.1
0.41	165.5	12
0.26	126.6	9.2
0.42	41.6	8.4
0.22	9	6.3
0.24	11.6	8.8
0.13	12.82	4.5
1.5	44.8	15.3
2.7	118	7.4
0.3	213	11.2
1.2	29.8	7.1
0.1	69.7	4.4
3.4	68.4	11.2
0.33	10.2	4.7
0.83	279.8	13.7
0.53	50.5	10.4
0.68	67.8	9
2.1	300	18.6
1.3	18.2	14.5
0.58	196.9	11.8
2.6	3731	18.8
0.13	299.1	5.2
0.09	510.8	7.3
0.09	229.9	7.3
1.2	7.1	14.5
0.38	12.9	10.4
0.6	50.7	10.4
1.5	146.6	15
0.94	69.7	14.4
5.3	7.6	18.5
2.5	120.4	12.5
0.3	198	7.3
1.9	164	12
0.26	145.6	5.8
0.04	197.5	3.8
0.03	536.2	6.8
0.26	1319.1	9
0.02	1374.7	5.8
0.02	536.4	4.1
