# Name	MU	MB	MV	MR	μef	Ref	n	type
UGC3960	-18.03	-18.32	-19.04	-19.53	22.05	2.32	2.77	E
UGC4268	-19.48	-19.86	-20.51	-21.10	21.27	2.93	2.48	E
UGC6361	-18.81	-19.05	-19.46	-20.04	21.77	1.99	7.14	E
UGC6438	-17.45	-17.28	-17.71	-18.11	21.03	1.13	1.58	E
UGC6604	-17.73	-18.05	-18.90	-19.35	20.43	0.91	2.28	E
UGC7269	-13.77	-14.10	-14.75	-15.42	23.99	1.58	0.94	E
UGC7622	-13.71	-14.10	-14.85	-15.35	23.13	0.99	1.14	E
UGC7640	-16.76	-17.03	-17.72	-18.20	21.92	1.83	1.47	E
UGC7838	-15.88	-16.10	-16.83	-17.18	22.17	0.95	1.16	E
UGC7953	-13.65	-13.93	-14.64	-15.08	23.14	1.09	0.74	E
UGC9070	-18.12	-18.49	-19.24	-19.79	21.45	1.97	2.04	E
UGC10325	-18.85	-18.83	-19.33	-19.79	21.63	2.10	2.75	E
