#Name	MU	MB	MV	MR	muef	Ref	n	type
UGC3868	-17.98	-17.93	-18.32	-18.72	24.67	13.58	1.49	I
UGC4157	-18.81	-18.53	-18.91	-19.21	23.07	4.34	0.67	I
UGC4333	-16.42	-16.42	-16.83	-17.28	23.16	2.57	0.70	I
UGC4401	-16.31	-16.11	-16.73	-17.09	24.86	16.62	1.71	I
UGC4648	-16.67	-16.60	-17.03	-17.54	23.66	2.15	1.44	I
UGC5105	-16.07	-16.06	-16.57	-17.04	23.69	2.46	0.79	I
UGC5186	-13.77	-13.87	-14.13	-14.48	23.10	0.78	0.98	I	
UGC5983	-13.62	-14.21	-14.66	-15.04	24.00	1.46	0.70	I
UGC6416	-15.90	-15.67	-16.04	-16.35	24.94	5.10	1.47	I
UGC6433	-18.38	-18.24	-18.51	-18.88	22.74	4.39	1.13	I
UGC7427	-14.81	-14.62	-15.00	-15.29	23.41	1.44	0.87	I
UGC8034	-15.48	-14.96	-15.28	-15.59	22.40	1.00	0.59	I
UGC8034	-15.16	-14.60	-14.88	-15.17	22.10	0.47	1.12	I
UGC8398	-16.78	-16.51	-17.08	-17.37	24.32	5.55	1.12	I
UGC8742	-16.54	-16.34	-16.83	-17.29	24.59	5.38	1.16	I
UGC9816	-15.54	-15.39	-15.93	-16.31	23.04	1.91	0.80	I
UGC9880	-15.93	-15.74	-16.26	-16.62	25.05	8.72	1.39	I
