#M_B	log10(Re)	
# ripped from Graham & Guzman (2003)
# M_V from M_B : M_V = 1.034*M_B - 0.275
 -14.639259 -0.097356
 -13.599259 -0.138268
 -16.145926  0.217536
 -13.825926 -0.021732
 -13.385926 -0.176699
 -14.099259 -0.021732
 -16.492593  0.092323
 -13.479259 -0.004376
 -16.652593  0.196461
 -14.059259 -0.117192
 -15.572593  0.130755
 -16.312593 -0.120911
 -13.585926  0.047693
 -13.565926 -0.122151
 -15.759259  0.01422
 -14.659259 -0.120911
 -14.325926  0.073727
 -13.439259  0.117118
 -14.205926 -0.40729
 -13.459259 -0.306872
 -13.025926 -0.076281
 -15.985926 -0.199015
 -13.745926 -0.197775
 -13.665926 -0.086199
 -14.599259 -0.004376
 -14.639259 -0.146946
 -16.452593  0.047693
 -15.179259 -0.318029
 -14.912593  0.074967
 -13.699259 -0.163062
 -12.732593 -0.269679
 -14.659259 -0.434564
 -13.725926 -0.011815
 -16.885926  0.068768
 -14.265926 -0.055205
 -14.099259 -0.132069
 -14.892593 -0.270919
 -15.985926  0.074967
 -15.219259  0.117118
 -16.352593  0.113399
 -14.585926 -0.213891
 -13.885926 -0.107274
 -13.585926 -0.192816
 -13.719259 -0.258522
 -15.619259  0.136954
 -13.332593 -0.046527
 -16.392593  0.102241
 -13.645926 -0.150665
 -13.845926 -0.040328
 -12.765926 -0.341584
 -12.985926 -0.298193
 -14.919259  0.088604
 -15.479259 -0.086199
 -13.005926 -0.101075
 -14.265926 -0.180419
 -13.525926 -0.160583
 -16.105926 -0.070082
 -13.252593  0.224975
 -14.792593  0.017939
 -14.465926 -0.257282
 -16.332593 -0.122151
 -15.019259  0.008021
 -13.145926 -0.066363
 -12.892593 -0.368858
 -13.759259  0.298119
 -12.985926  0.026617
 -15.192593 -0.03413
 -17.145926  0.148111
 -13.385926 -0.057685
 -13.459259  0.066289
 -15.059259 -0.480434
 -14.832593  0.139433
 -15.572593 -0.336625
 -14.792593 -0.179179
 -15.845926  0.162988
 -13.585926  0.135714
 -14.205926 -0.184138
 -15.212593 -0.144466
 -14.939259 -0.145706
 -14.285926 -0.327947
 -13.599259 -0.216371
 -14.652593 -0.249844
 -14.699259 -0.024212
 -14.225926 -0.36018
 -15.459259 -0.186617
 -12.772593 -0.296954
 -14.279259 -0.024212
 -13.052593 -0.251083
 -15.019259  0.003062
 -14.005926  0.043974
 -14.879259  0.242331
 -14.585926  0.052652
 -16.185926  0.215057
 -14.559259 -0.086199
 -12.825926 -0.12587
 -13.425926 -0.384975
 -14.732593  0.125796
 -13.105926 -0.340344
 -14.912593 -0.12463
 -14.219259 -0.135788
 -14.199259  0.083645
 -12.925926 -0.094877
 -15.619259 -0.166781
 -13.252593  0.160509
 -14.919259 -0.275878
 -14.245926 -0.013054
 -14.539259  0.050172
 -15.872593 -0.102315
 -14.179259 -0.041568
 -12.912593 -0.238686
 -14.999259 -0.353981
 -15.372593  0.039015
 -15.632593  0.181584
 -13.012593  0.036535
 -15.652593  0.004302
 -15.212593 -0.063883
 -15.792593 -0.088678
 -15.885926  0.005542
 -13.565926 -0.051486
 -15.019259 -0.346543
 -13.925926 -0.102315
 -16.325926  0.170426
 -12.905926 -0.327947
 -15.865926  0.242331
 -12.752593 -0.144466
 -14.365926 -0.169261
 -16.892593  0.122077
 -14.019259  0.017939
 -17.552593  0.401017
 -16.752593 -0.201494
 -18.105926  0.019179
 -17.605926  0.290681
 -18.119259  0.050172
 -18.259259  0.20018
 -17.725926 -0.211412
 -20.172593  0.471682
 -18.832593  0.009261
 -18.545926  0.009261
 -18.125926  0.050172
 -19.172593  0.229934
 -20.892593  0.953939
 -17.919259  0.109679
 -19.159259  0.050172
 -16.492593  0.310517
 -16.785926  0.129515
 -17.919259  0.361346
 -18.485926  0.06009
 -18.892593  0.381181
 -17.032593 -0.071322
 -19.252593  0.34151
 -19.159259  0.310517
 -19.372593  0.451846
 -17.272593 -0.071322
 -21.185926  1.054358
 -17.765926  0.260927
 -20.252593  0.539868
 -20.105926  0.801452
 -19.699259  0.489038
 -21.025926  0.660122
 -18.259259 -0.092397
 -19.139259  0.258448
 -18.579259  0.278283
 -18.325926  0.10844
 -18.365926  0.187783
 -18.419259  0.348948
 -17.585926 -0.353981
 -19.019259  0.067528
 -18.479259  0.167947
 -19.319259  0.258448
 -20.652593  0.589457
 -20.365926  0.630368
 -20.892593  0.689875
 -20.992593  0.610532
 -20.332593  0.650204
 -22.085926  1.112625
 -19.932593  0.278283
 -20.145926  0.589457
 -21.145926  0.95146
 -21.445926  0.841123
 -21.959259  0.941542
 -21.685926  0.941542
 -20.432593  0.399777
 -21.005926  0.931624
 -21.525926  0.791534
 -22.832593  1.494464
 -22.659259  1.203126
 -21.152593  0.870877
 -22.792593  1.544053
 -22.319259  1.232879
 -16.692593  0.103481
 -17.232593  0.150591
 -15.005926 -0.094877
 -15.472593  0.065049
 -16.039259 -0.082479
 -15.292593 -0.133309
 -15.252593  0.057611
 -15.612593 -0.050246
 -14.819259 -0.129589
 -15.139259 -0.087438
 -15.832593  0.020419
 -16.812593  0.091083
 -15.812593  0.096042
 -16.485926 -0.241166
 -15.252593 -0.092397
