# name  type            a1 a2 a3         d1 d2 d3       D1 D2           D_near          M_V     mu_V mu_V_err   [Fe/H] [Fe/H]_err M_HI          LV
# Data taken from grebel et al. 2003: THE PROGENITORS OF DWARF SPHEROIDAL GALAXIES
#
# [Fe/H]: dex, mu_V: mag arscec^-2, M_HI: 10^6 M_sol, L_V: 10^6 L_sol
#
# 1     2               3               6               9               11              12      13              15              17              18
# name  type            alpha           delta           D               D_near          M_V     mu_V (with err) Fe/H (with err) M_HI (with err) LV
Sgr	dSph,t,N?	18 55 03	-30 28 42	28 3		0		-15.0	25.4 0.2	-0.5 0.8	<0.01:	   	80.1
LMC	Irr_III-IV	05 23 35	-69 45 22	50 2		0		-18.5	20.7 0.1	-0.6 0.5	500.0		1995.0
SMC	Irr_IV/IV-V	00 52 49	-72 49 43	63 10		0		-17.1	22.1 0.1	-1.2 0.4	420.0		550.0
UMi	dSph		15 09 10	+67 12 52	69 4		0		-8.9	25.5 0.5	-1.9 0.7	<0.007		0.3
Dra	dSph		17 20 12	+57 54 55	79 4		0		-9.4	24.4 0.5	-2.0 0.7	<0.008		0.47
Sex	dSph		10 13 03	-01 36 53	86 6		0		-9.5	26.2 0.5	-1.9 0.4	<0.03		0.5
Scl	dSph		01 00 09	-33 42 33	88 4		0		-9.8	23.7 0.4	-1.5 0.5	>0.09:		2.2
Car	dSph		06 41 37	-50 57 58	94 5		0		-9.4	25.5 0.4	-1.8 0.3	<0.001		0.4
For	dSph		02 39 59	-34 26 57	138 8		0		-13.1	23.4 0.3	-1.2 0.5	<0.7		15.5
Leo_II	dSph		11 13 29	+22 09 17	205 12		0		-10.1	24.0 0.3	-1.6 0.5	<0.03		0.6
Leo_I	dSph		10 08 27	+12 18 27	270 10		0		-11.9	22.4 0.3	-1.4 0.5	<0.009		4.8
Phe	dIrr/dSph	01 51 06	-44 26 41	405 15		0		-9.8	0    0		-1.9 0.4	0.17?		0.9
NGC_6822 dIrr_IV-V	19 44 56	-14 52 11	500 20		0		-16.0	21.4 0.2	-1.2 0.4	140.0		94.4
M32	dE2,N		00 42 42	+40 51 55	770 40		0.0		-16.5	11.5 0.5	-1.1 0.6	<2.5		383.0
NGC_205	dE5p,N		00 40 22	+41 41 07	830 35		0.06		-16.4	20.4 0.4	-0.5 0.5	0.39		366.0
And_I	dSph		00 45 40	+38 02 28	790 30		0.05		-11.8	24.9 0.1	-1.4 0.2	<0.096		4.2
And_III	dSph		00 35 34	+36 29 52	760 70		0.07		-10.2	25.3 0.1	-1.7 0.2	0.09?		1.0
NGC_147	dE5		00 33 12	+48 30 29	755 35		0.10		-15.1	21.6 0.2	-1.1 0.4	<.005		131.0
And_V	dSph		01 10 17	+47 37 41	810 45		0.12		-9.1	24.8 0.2	-1.9 0.1	Undet.		0.4
And_II	dSph		01 16 30	+33 25 09	680 25		0.16		-11.8	24.8 0.1	-1.5 0.3	Undet.		2.4
NGC_185	dE3p		00 38 58	+48 20 12	620 25		0.17		-15.6	20.1 0.4	-0.8 0.4	0.13		125.0
Cas_dSph	dSph	23 26 31	+50 41 31	760 70		0.22		-12.0	23.5 0.1	-1.5 0.2	Undet.		5.0
IC_10	dIrr_IV/BCD	00 20 17	+59 18 14	660 65		0.25		-16.0	20.4 0.4	-1.3 0.4	98.0		160.0
And_VI	dSph		23 51 46	+24 34 57	775 35		0.27		-11.3	24.3 0.1	-1.7 0.2	Undet.		2.6
LGS_3	dIrr/dSph	01 03 53	+21 53 05	620 20		0.28		-9.8	24.7 0.2	-1.7 0.3	0.2		1.3
Peg_DIG	dIrr/dSph	23 28 36	+14 44 35	760 100		0.41		-12.9	0    0		-2.0 0.3	3.4		12.0
IC_1613	dIrrV		01 04 47	+02 07 02	715 35		0.50		-15.3	22.8 0.3	-1.4 0.3	58.0		63.6
Cet	dSph		00 26 11	-11 02 40	775 50		0.68		-10.1	25.1 0.1	-1.7 0.2	Undet.		0.9
Leo_A	dIrrV		09 59 26	-02 46 37	800 40		0.98		-11.7	0    0		-2.1 0.4	7.6		4.1
WLM	dIrrIV-V	00 01 58	-15 27 39	945 40		0.84		-14.4	20.4 0.1	-1.4 0.4	63.0		50.2
Tuc	dSph		22 41 49	-64 25 12	870 60		1.11		-9.6	25.1 0.1	-1.7 0.2	<0.015		0.6
DDO_210	dIrr/dSph	20 46 52	-12 50 53	950 50		0.96		-10.9	23.0 0.3	-1.9 0.3	2.7		0.8
Sag_DIG	dIrrV		19 29 59	-17 40 41	1060 100	1.18		-12.0	23.9 0.2	-2.3 0.4	8.6		6.9
NGC_3109 dIrrIV-V	10 03 07	-26 09 32	1360 100	1.75		-15.7	23.6 0.2	-1.7 0.4	820.0		160.0
Ant	dIrr/dSph	10 04 04	-27 19 55	1330 100	0.04		-11.2	0    0		-1.9 0.2	0.72		2.4
Sex_A	dIrrV		10 11 01	-04 41 34	1440 70		0.53		-14.6	23.5 0.3	-1.9 0.4	54.0		55.7
Sex_B	dIrrIV-V	10 00 00	+05 19 56	1320 140	0.73		-14.2	0    0		-2.1 0.4	44.0		40.7
IC_5152	dIrrIV-V	22 02 42	-51 17 44	1700 150	1.83		-14.8	0    0		-1.4 0.5	67.0		70.3
KKR_25	dIrr/dSph	16 13 48	+54 22 16	1860 120	1.79		-10.5	24.0 0.2	-2.1 0.3	1.0		1.2
GR8	dIrrV		12 58 40	+14 13 03	2200 300	2.50		-11.6	22.3 0.2	-2.0 0.4	9.6		3.4
