# name  type            a1 a2 a3         d1 d2 d3       D1 D2           D_near          M_V     mu_V mu_V_err   [Fe/H] [Fe/H]_err M_HI          LV
# Data taken from grebel et al. 2003: THE PROGENITORS OF DWARF SPHEROIDAL GALAXIES
#
# [Fe/H]: dex, mu_V: mag arscec^-2, M_HI: 10^6 M_sol, L_V: 10^6 L_sol
#
# 1     2               3               6               9               11              12      13              15              17              18
# name  type            alpha           delta           D               D_near          M_V     mu_V (with err) Fe/H (with err) M_HI (with err) LV
LMC	Irr_III-IV	05 23 35	-69 45 22	50 2		0		-18.5	20.7 0.1	-0.6 0.5	500.0		1995.0
SMC	Irr_IV/IV-V	00 52 49	-72 49 43	63 10		0		-17.1	22.1 0.1	-1.2 0.4	420.0		550.0
NGC_6822 dIrr_IV-V	19 44 56	-14 52 11	500 20		0		-16.0	21.4 0.2	-1.2 0.4	140.0		94.4
IC_10	dIrr_IV/BCD	00 20 17	+59 18 14	660 65		0.25		-16.0	20.4 0.4	-1.3 0.4	98.0		160.0
IC_1613	dIrrV		01 04 47	+02 07 02	715 35		0.50		-15.3	22.8 0.3	-1.4 0.3	58.0		63.6
Leo_A	dIrrV		09 59 26	-02 46 37	800 40		0.98		-11.7	0    0		-2.1 0.4	7.6		4.1
WLM	dIrrIV-V	00 01 58	-15 27 39	945 40		0.84		-14.4	20.4 0.1	-1.4 0.4	63.0		50.2
Sag_DIG	dIrrV		19 29 59	-17 40 41	1060 100	1.18		-12.0	23.9 0.2	-2.3 0.4	8.6		6.9
NGC_3109 dIrrIV-V	10 03 07	-26 09 32	1360 100	1.75		-15.7	23.6 0.2	-1.7 0.4	820.0		160.0
Sex_A	dIrrV		10 11 01	-04 41 34	1440 70		0.53		-14.6	23.5 0.3	-1.9 0.4	54.0		55.7
Sex_B	dIrrIV-V	10 00 00	+05 19 56	1320 140	0.73		-14.2	0    0		-2.1 0.4	44.0		40.7
IC_5152	dIrrIV-V	22 02 42	-51 17 44	1700 150	1.83		-14.8	0    0		-1.4 0.5	67.0		70.3
GR8	dIrrV		12 58 40	+14 13 03	2200 300	2.50		-11.6	22.3 0.2	-2.0 0.4	9.6		3.4
