# name  type            a1 a2 a3         d1 d2 d3       D1 D2           D_near          M_V     mu_V mu_V_err   [Fe/H] [Fe/H]_err M_HI          LV
# Data taken from grebel et al. 2003: THE PROGENITORS OF DWARF SPHEROIDAL GALAXIES
#
# [Fe/H]: dex, mu_V: mag arscec^-2, M_HI: 10^6 M_sol, L_V: 10^6 L_sol
#
# 1     2               3               6               9               11              12      13              15              17              18
# name  type            alpha           delta           D               D_near          M_V     mu_V (with err) Fe/H (with err) M_HI (with err) LV
Sgr	dSph,t,N?	18 55 03	-30 28 42	28 3		0		-15.0	25.4 0.2	-0.5 0.8	<0.01:	   	80.1
UMi	dSph		15 09 10	+67 12 52	69 4		0		-8.9	25.5 0.5	-1.9 0.7	<0.007		0.3
Dra	dSph		17 20 12	+57 54 55	79 4		0		-9.4	24.4 0.5	-2.0 0.7	<0.008		0.47
Sex	dSph		10 13 03	-01 36 53	86 6		0		-9.5	26.2 0.5	-1.9 0.4	<0.03		0.5
Scl	dSph		01 00 09	-33 42 33	88 4		0		-9.8	23.7 0.4	-1.5 0.5	>0.09:		2.2
Car	dSph		06 41 37	-50 57 58	94 5		0		-9.4	25.5 0.4	-1.8 0.3	<0.001		0.4
For	dSph		02 39 59	-34 26 57	138 8		0		-13.1	23.4 0.3	-1.2 0.5	<0.7		15.5
Leo_II	dSph		11 13 29	+22 09 17	205 12		0		-10.1	24.0 0.3	-1.6 0.5	<0.03		0.6
Leo_I	dSph		10 08 27	+12 18 27	270 10		0		-11.9	22.4 0.3	-1.4 0.5	<0.009		4.8
And_I	dSph		00 45 40	+38 02 28	790 30		0.05		-11.8	24.9 0.1	-1.4 0.2	<0.096		4.2
And_III	dSph		00 35 34	+36 29 52	760 70		0.07		-10.2	25.3 0.1	-1.7 0.2	0.09?		1.0
And_V	dSph		01 10 17	+47 37 41	810 45		0.12		-9.1	24.8 0.2	-1.9 0.1	Undet.		0.4
And_II	dSph		01 16 30	+33 25 09	680 25		0.16		-11.8	24.8 0.1	-1.5 0.3	Undet.		2.4
Cas_dSph	dSph	23 26 31	+50 41 31	760 70		0.22		-12.0	23.5 0.1	-1.5 0.2	Undet.		5.0
And_VI	dSph		23 51 46	+24 34 57	775 35		0.27		-11.3	24.3 0.1	-1.7 0.2	Undet.		2.6
Cet	dSph		00 26 11	-11 02 40	775 50		0.68		-10.1	25.1 0.1	-1.7 0.2	Undet.		0.9
Tuc	dSph		22 41 49	-64 25 12	870 60		1.11		-9.6	25.1 0.1	-1.7 0.2	<0.015		0.6
