#Name	Rad	M_V	(U-B)	e(U-B)	(B-V)	e(B-V)
A1004_10	1.37	-15.930	-99	-99	0.326	0.001
A2228_33	2.27	-17.752	-0.093	0.025	0.508	0.019
CVnIdwA		1.13	-12.651	-0.541	0.123	0.211	0.096
D508_2		0.76	-15.742	-0.650	0.130	-0.127	0.101
D575_5		0.91	-12.852	-0.137	0.053	0.199	0.037
D634_3	0.47	-10.163	-0.211	0.311	0.471	0.167
D646_8	0.38	-14.692	-0.019	0.694	0.615	0.255
DDO9	2.46	-17.462	-0.323	0.032	0.342	0.024
DDO22	1.51	-15.441	-0.214	0.108	0.407	0.046
DDO24	1.51	-17.090	-0.247	0.015	0.361	0.011
DDO25	2.08	-17.275	-0.159	0.020	0.387	0.015
DDO26	1.40	-16.804	-0.198	0.015	0.259	0.016
DDO27	1.22	-15.267	-0.417	0.122	0.253	0.062
DDO33	1.32	-18.631	-0.225	0.055	0.492	0.023
DDO34	1.83	-15.360	-0.703	0.071	0.398	0.055
DDO35	1.32	-18.743	-0.307	0.068	0.313	0.028
DDO38	1.26	-17.111	-0.311	0.031	0.343	0.028
DDO39	2.46	-17.423	-0.199	0.035	0.603	0.023
DDO40	2.27	-17.973	-0.386	0.057	0.399	0.034
DDO43	1.13	-14.305	-0.312	0.030	0.315	0.021
DDO46	1.13	-14.446	-0.281	0.029	0.309	0.021
DDO47	3.78	-15.460	-0.280	0.022	0.292	0.016
DDO50	5.48	-16.612	-0.406	0.005	0.217	0.004
DDO52	1.32	-14.273	-0.017	0.099	0.394	0.042
DDO53	2.10	-13.839	-0.526	0.014	0.408	0.010
DDO63	2.65	-14.729	-0.183	0.046	0.197	0.022
DDO64	1.70	-15.420	-0.493	0.017	0.243	0.013
DDO68	1.96	-15.168	-0.243	0.047	0.118	0.032
DDO69	3.97	-11.666	-0.287	0.019	0.292	0.014
DDO70	4.82	-14.104	-0.114	0.005	0.360	0.004
DDO75	3.42	-13.914	-0.540	0.016	0.190	0.012
DDO86	1.51	-16.513	-0.329	0.090	0.364	0.045
DDO87	2.27	-14.674	-0.218	0.047	0.454	0.031
DDO99	3.02	-14.880	-0.204	0.030	0.284	0.018
DDO101	1.32	-15.750	-0.008	0.022	0.610	0.017
DDO105	3.21	-17.702	-0.196	0.019	0.478	0.014
DDO115	1.22	-13.280	-0.084	0.023	0.516	0.016
DDO120	2.08	-16.326	-0.113	0.030	0.350	0.015
DDO126	2.46	-14.854	-0.349	0.030	0.287	0.016
DDO133	2.83	-15.961	-0.137	0.031	0.386	0.014
DDO143	1.70	-15.576	-0.726	0.024	0.347	0.023
DDO154	2.08	-14.514	-0.319	0.050	0.303	0.026
DDO155	1.32	-12.532	-0.449	0.026	0.280	0.020
DDO165	2.83	-15.695	-0.211	0.012	0.228	0.009
DDO167	1.13	-12.976	-0.382	0.056	0.193	0.045
DDO168	3.02	-15.274	-0.252	0.010	0.371	0.008
DDO169	1.89	-14.579	-0.361	0.036	0.287	0.021
DDO171	1.32	-17.898	-0.204	0.034	0.455	0.015
DDO183	1.89	-14.540	-0.199	0.046	0.307	0.021
DDO185	3.21	-14.950	-0.271	0.028	0.478	0.015
DDO187	1.51	-12.955	-0.184	0.026	0.303	0.020
DDO210	2.84	-10.880	-0.086	0.028	0.504	0.015
DDO215	1.52	-15.631	-0.397	0.063	0.105	0.065
DDO216	7.35	-13.288	-0.026	0.004	0.664	0.004
DDO220	1.22	-16.281	-0.133	0.041	0.403	0.015
F473_V1	0.51	-99	-0.281	0.092	0.436	0.047
F533_1	0.91	-15.335	-0.422	0.158	0.211	0.078
F563_V1	0.36	-18.530	-99	-99	-99	-99	
F563_V2	0.61	-18.628	0.068	0.035	0.331	0.026
F564_V3	0.61	-13.238	0.574	0.104	0.373	0.039
F565_V1	0.61	-12.452	-0.123	0.114	0.427	0.048
F565_V2	0.36	-17.653	-99	-99	-99	-99	
F608_1	0.73	-14.863	-0.206	0.153	0.508	0.063
F615_1	0.73	-13.885	-0.090	0.178	0.327	0.083
F620_V3	0.61	-99	0.200	0.051	0.659	0.042
F651_2	0.97	-16.425	-0.185	0.050	0.191	0.034
F721_V2	0.61	-14.344	-0.173	0.171	0.505	0.061
F750_V1	0.51	-14.339	-0.224	0.118	0.413	0.048
IC10	4.54	-17.114	-99	-99	0.589	0.004
IC1613	13.89	-14.604	0.133	0.008	0.427	0.006
IC4662	2.16	-16.562	-99	-99	-99	-99	
LGS3	2.55	-9.407	0.069	0.070	0.634	0.052
M81dwA	0.68	-11.729	-0.327	0.156	0.269	0.078
NGC1156	2.46	-18.674	-0.272	0.007	0.376	0.004
NGC1569	2.10	-17.572	-0.573	0.002	0.245	0.001
NGC2366	7.35	-16.660	-0.389	0.001	0.297	0.001
NGC3413	1.32	-17.157	-0.049	0.014	0.441	0.007
NGC3738	2.65	-17.122	-0.164	0.004	0.419	0.003
NGC3952	1.70	-18.905	-0.249	0.014	0.363	0.007
NGC4163	1.89	-14.369	-0.157	0.022	0.487	0.009
NGC4214	5.63	-17.560	-0.380	0.001	0.366	0.001
NGC6822	6.42	-15.221	-0.344	0.003	0.458	0.001
SagDIG	2.25	-12.455	-0.021	0.015	0.391	0.007
UGC199	0.91	-16.482	-0.176	0.103	0.348	0.047
UGC5209	0.61	-13.761	-0.116	0.050	0.338	0.022
UGC8011	1.51	-15.560	-0.120	0.050	0.418	0.033
UGC8055	0.61	-13.625	-0.519	0.096	0.240	0.074
UGC8276	0.61	-14.566	-0.359	0.065	0.337	0.054
UGC8508	1.89	-13.589	-0.178	0.017	0.350	0.012
UGC10140	0.51	-16.804	-0.282	0.058	0.477	0.042
UGC10281	0.91	-15.640	-0.296	0.070	0.359	0.028
WLM	8.51	-14.388	0.172	0.008	0.408	0.005
0467_074	0.35	-18.691	-0.170	0.237	0.381	0.123
1397_049	0.25	-17.733	-1.310	0.267	0.501	0.232
#Title: UBV imaging of irregular galaxies (Hunter+, 2006)
#---Details of Columns:
# Group  (A3) Galaxy grouping (G1) [ucd=meta.id]
# Name  (a12) Galaxy name [ucd=meta.id;meta.main]
# Rad (arcmin) (F5.2) Radius (1) [ucd=phys.angSize]
# VMAG (mag)  (F7.3) ? Absolute V band magnitude [ucd=phys.magAbs;em.opt.V]
# (U-B)0 (mag) (F6.3) ? Dereddened (U-B) color index [ucd=phot.color;em.opt.U;em.opt.B]
# e_(U-B)0 (mag) (F6.3) ? The 1{sigma} error in (U-B)0 [ucd=stat.error]
# (B-V)0 (mag) (F6.3) ? Dereddened (B-V) color index [ucd=phot.color;em.opt.B;em.opt.V]
# e_(B-V)0 (mag) (F6.3) ? The 1{sigma} error in (B-V)0 [ucd=stat.error]
