#galaxy	MB	logSFR	beta
#zhang et al. 2012
DDO210	-10.38	-4.07	-3.66
M81dwA	-11.46	-3.14	-1.98
CVnIdwA -12.16	-2.68	-4.33
DDO155	-12.25	-2.71	-3.97
DDO187	-12.38	-3.14	-1.98
DDO53	-13.43	-2.34	-2.48
DDO75	-13.72	-2.18	-2.8
F564V3	-13.67	-3.05	-2.74
DDO70	-13.74	-2.59	-3.94
NGC4163	-13.95	-1.73	-3.32
IC1613	-14.17	-2.23	-2.85
Haro29	-14.39	-1.87	-2.87
DDO46	-14.36	-2.05	-2.75
DDO133	-14.36	-2.13	-3.94
DDO63	-14.58	-2.09	-1.90
DDO87	-14.52	-2.15	-2.9
DDO101	-14.40	-2.68	-2.
DDO43	-14.75	-2.03	-2.56
DDO52	-15.05	-2.03	-2.54
DDO47	-15.17	-1.83	-3.14
IC10	-15.75	-1.73	-1.59
DDO50	-16.39	-1.18	-2.25
NGC3738	-16.70	-1.45	-2.75
NGC4214 -17.26	-1.03	-2.31
