#name	M_B	BmV	VmI	MBHost1	MBHost2	alpha1	alpha2	mu01	mu02	UmB
ESO185	-19.48	0.26	0.49	-17.7	-15.9	1.55	5.91	20.87	24.78	-0.17
ESO249 	-17.99	0.5	0.66	-17	-15.7	1.65	3.92	21.40	24.23	-99
ESO338 	-19.31	0.34	-0.22	-17.7	-16.2	1.4	3.43	20.68	23.84	-99
ESO400 	-20.15	-99	0.38	-18.4	-16.9	1.65	3.61	20.64	23.60	-99
ESO421 	-16.53	-0.15	0.97	-99	-99	0.72	0.67	20.57	20.20	-0.52
ESO462	-20.03	0.29	-99	-17.9	-16.7	2.44	6.36	21.27	24.29	-16
HE2-10	-19.07	0.48	-99	-18	-16.6	1.37	3.15	20.49	23.53	0.11
HL293B 	-13.71	0.48	0.22	-12.7	-12.9	0.18	0.18	20.66	20.73	-0.5
IIZW40	-18.68	0.22	-0.36	-17.1	-99	1.67	-99	21.60	-99	-0.94
MK600	-15.12	0.37	0.41	-13.9	-13.4	0.61	1.37	21.58	23.79	-0.31
MK900	-15.99	0.58	0.81	-14.8	-14.5	0.8	1.2	21.61	23.03	-0.2
MK930	-19.23	0.41	0.17	-18.3	-16	1.33	3.91	19.59	23.85	-0.77
MK996	-16.25	0.57	0.78	-15.4	-14.9	0.52	0.65	20.69	21.78	-0.3
SBS335E	-16.89	-99	-0.02	-14.9	-14.7	0.68	1.03	21.66	23.07	-99
SBS335W	-14.53	-99	0.29	-13.2	-13.8	0.69	0.74	22.6	22.95	-99
TOL0341	-17.50	0.66	0.2	-99	-15.4	0.75	2.29	18.71	23.56	-0.51
TOL14I	-20.02	0.28	-99	-99	-18.3	3.63	3.39	20.84	23.62	-99
TOL14II	-19.54	0.19	-99	-18.5	-16.9	2.08	4.43	20.46	20.08	-99
UM133	-15.81	0.34	0.58	-99	-14.8	0.87	1.38	20.89	22.8	-0.43
UM160	-17.76	0.42	0.47	-99	-99	1.41	1.06	20.27	18.7	-0.95
UM238	-16.76	0.4	0.62	-16	-15.7	1.37	2.18	21.51	23.11	-0.33
UM417	-14.50	0.58	0.22	-12.7	-99	1.19	0.51	22.96	19.76	-0.44
UM448	-20.42	0.49	0.64	-18.1	-17.9	4.29	9.27	22.53	24.33	-99
UM619	-18.40	0.38	0.69	-99	-17.4	1.4	2.14	19.18	21.48	-0.1
UM422	-18.27	0.45	0.86	-17.7	-99	2.71	0.81	21.9	11.35	-0.34
UM439 	-16.58	0.39	0.62	-15.6	-14.9	0.65	1.05	21.09	22.92	-0.48
UM446 	-15.67	0.58	0.71	-14.6	-14.3	0.49	0.72	21.49	22.8	-99
UM452 	-16.65	0.71	0.96	-15.6	-15.6	0.87	1.06	21.55	22.31	-0.2
UM456 	-16.99	0.41	0.52	-15.9	-99	1.36	1.05	22.	21.02	-0.41
UM461 	-15.14	0.66	0.1	-14.1	-14.4	0.35	0.37	21.42	21.59	-0.56
UM462 	-16.93	0.36	0.07	-16.1	-14.4	0.52	1.48	20.58	24.12	-0.66
UM463 	-13.9	0.74	0.11	-13.1	-12.8	0.19	0.24	20.72	21.85	-0.84
UM465 	-17.53	0.6	-99	-16.9	-15.9	0.65	0.94	19.97	21.82	-0.3
UM477 	-19.84	0.57	0.95	-99	-99	3.19	3.07	20.88	20.47	0.16
UM483 	-16.84	0.45	0.56	-16.	-15.2	0.62	1.	20.56	22.46	-0.3
UM491 	-16.87	0.44	0.62	-15.9	-15.9	0.68	0.78	20.63	21.15	-0.4
UM499 	-19.57	0.64	0.95	-19.2	-18.4	3.57	4.92	20.63	22.25	-0.08
UM500 	-17.82	0.68	0.26	-99	-99	1.22	1.46	20.41	21.15	-0.42
UM501 	-16.06	0.38	0.55	-14.5	-99	1.6	1.16	22.82	21.98	-0.45
UM504 	-16.29	0.56	0.69	-15.3	-15.6	0.56	0.56	20.93	20.93	-0.21
UM523A 	-17.09	0.33	0.64	-99	-99	0.76	0.81	19.43	19.84	-0.08
UM523B 	-16.71	0.3	0.61	-16.1	-15.6	0.58	0.8	20.79	22.18	-0.4
UM533 	-16.29	0.63	0.82	-15.3	-15.9	1.12	1.2	22.18	22.38	0.02
UM538 	-13.66	0.58	0.72	-12.8	-12.5	0.31	0.51	22.07	23.63	-0.34
UM559 	-15.6	0.36	0.56	-99	-15.2	0.56	0.83	19.68	21.59	-0.33


