#MB1	MB2	h_r1	h_r2	mu0_1	mu0_2
−17.7	-15.9	1.55	5.91	20.87	24.78
-17	-15.7	1.65	3.92	21.40	24.23
-17.7	-16.2	1.4	3.43	20.68	23.84
-18.4	-16.9	1.65	3.61	2064	23.60
-99	-99	0.72	0.67	20.57	20.20
-17.9	-16.7	2.44	6.36	21.27	24.29
-18	-16.6	1.37	3.15	20.49	23.53
-12.7	-12.9	0.18	0.18	20.66	20.73
-17.1	-99	1.67	-99	21.60	-99
-13.9	-13.4	0.61	1.37	21.58	23.79
-14.8	-14.5	0.8	1.2	21.61	23.03
-18.3	-16	1.33	3.91	19.59	23.85
-15.4	-14.9	0.52	0.65	20.69	21.78
-14.9	-14.7	0.68	1.03	21.66	23.07
-13.2	-13.8	0.69	0.74	22.6	22.95
-99	-15.4	0.75	2.29	18.71	23.56
-99	-18.3	3.63	3.39	20.84	23.62
-18.5	-16.9	2.08	4.43	20.46	20.08
-99	-14.8	0.87	1.38	20.89	22.8
-99	-99	1.41	1.06	20.27	18.7
-16	-15.7	1.37	2.18	21.51	23.11
-12.7	-99	1.19	0.51	22.96	19.76
-18.1	-17.9	4.29	9.27	22.53	24.33
-99	-17.4	1.4	2.14	19.18	21.48
