# d        d            m814         M_B        m555_1re   m555         dd           Re    dmu    D               dd          dd          i1 i1 dd          i1 i1 dd       m814_1re n    name    d
#re814	re814		m814         M814     m555(1re)   m555	       re555     re555   mu_0V   D                x          y              ra                dec       m814(1re)  n      name
# Data from De Rijcke et al. (2009)
# M_V = dm555 - 0.036 - 0.051*(dm555_1re-dm814_1re) - 34.26 (see plot_LV_Re.f)
# M_V_1re = m555_1re - 0.036 - 0.051*(m555_1re-m814_1re) - 34.26 (see plot_LV_Re.f)
# M_I_1re = m814_1re - 0.443 - 0.002*(m555_1re-m814_1re) - 34.26
# V-I = M_V_1re - M_I_1re
# mu0 = dmu - 0.036 - 0.051*(dm555_1re-dm814_1re) -0.54
# n at the end: Sersic n
2.582    0.8886        18.75        -15.510     20.11     19.60        2.09        0.72   22.97 263.4            3916        989         03 19 03.5        41 35 13.6     19.53   0.77   9999	cgw11	1.3 ± 0.2
2.175    0.7485        19.32        -14.937     20.80     20.22        1.91        0.66	  23.52	251.4            3368        1301        03 19 05.2        41 34 48.1     20.10   0.78	 27	cgw15 	1.3 ± 0.5
1.906    0.656         20.14        -14.118     21.41     20.83        1.68        0.58	  23.70	231.4            1390        1555        03 19 07.0        41 33 10.7  	  20.92	  1.09	 9999	6a1      
1.664    0.573         20.88        -13.384     22.14     21.72        1.33        0.46	  24.50	235.1            688         1219        03 19 05.8        41 32 34.3     21.66	  0.50	 225	6a2     
1.256    0.432         21.69        -12.569     23.18     22.48        1.21        0.42	  24.99	256.6            2528        785         03 19 03.2        41 34 04.0 	  22.47	  0.51	 130	6a6       
1.442    0.496         20.45        -13.813     21.84     21.23        1.29        0.44	  23.85	223.3            3955        2878        03 19 11.9        41 35 24.2     21.23	  0.65	 62	6a10   
1.164    0.401         21.84        -12.422     23.21     22.70        0.98        0.34	  25.14	187.4            1970        3673        03 19 16.2        41 33 49.0     22.62	  99.9	 184	6a12   
1.326    0.457         21.11        -13.151     22.43     22.04        0.87        0.30   23.95	179.4            1929        4030        03 19 17.7        41 33 48.3     21.89	  1.13	 408	6a13     
1.859    0.640         19.95        -14.314     21.30     20.68        1.70        0.59	  24.02	84.5             2777        3883        03 19 42.3        41 34 16.6     20.73   0.51	 100	cgw46	0.6 ± 0.4
1.446    0.498         20.46        -13.802     21.98     21.48        1.18        0.41   23.06	91.2             2969        3535        03 19 40.6        41 34 25.2     21.24   0.95	 155	1.42   5a2
1.246    0.429         21.80        -12.458     23.25     22.14        1.07        0.37   24.86	129	         2623        739         03 19 28.4        41 33 55.8     22.58	  0.66   182	5a6  
1.850    0.637         21.02        -13.242     22.47     22.08        1.37        0.47	  24.52	266.3            3596        1013        03 18 59.5        41 31 18.9     21.80	  1.14   136	cgw7
1.826    0.6286        19.15        -15.115     20.53     19.86        1.72        0.59	  23.03	263.6            865         989         03 19 00.4        41 29 02.4 	  19.93	  0.65	 22	cgw10  0.9 ± 0.1     
1.586    0.546         20.53        -13.726     22.00     21.51        1.04        0.36	  24.22	193.8            2520        3889        03 19 12.7        41 30 37.7 	  21.31	  0.60	 123	cgw21  1.6 ± 0.1     
1.814    0.625         20.47        -13.787     21.68     21.04        1.68        0.58	  24.32	264.9            2768        1017        03 18 59.7        41 30 37.9  	  21.25	  0.54	 136	4a13      
1.893    0.652         17.98        -16.285     19.43     18.65        1.94        0.67	  21.23 207.7            1353        3300        03 19 10.4        41 29 37.4     18.73   1.21 	 7	cgw20  1.2 ± 0.2   
1.461    0.503         19.41        -14.855     20.85     20.17        1.39        0.48	  22.88	153.5            576         1782        03 19 21.2        41 28 42.5  	  20.19	  0.64	 18	cgw31  1.4 ± 0.1     
2.474    0.852         18.43        -15.826     19.71     18.82        2.76        0.95	  22.74	90.9             3932        3859        03 19 31.7        41 31 21.3     19.21	  0.86 	 27	cgw40  1.0 ± 0.1    
1.319    0.454         20.02        -14.238     21.32     20.53        1.36        0.47	  23.14	157	         2283        1251        03 19 19.5        41 30 10.3     20.80	  0.72	 46	3a3      
0.997    0.342         20.62        -13.641     21.91     21.11        1.04        0.36	  22.72	182.9            2538        152         03 19 14.7        41 30 27.8     21.40   0.98	 42	3a5    
1.578    0.543         21.01        -13.248     22.19     21.45        1.56        0.54	  24.20	177	         3324        321         03 19 15.8        41 31 06.2     21.79	  0.97	 197	3a15      
