# vc	dM
656	760
624 	721
628	712
645 	708
663	712
599	705
635	699
647	699
628	668
629	660
628	645
617	636
594	621
623	620
564	600
579	598
569	580
536	575
544	561
557	547
546	541
535	534
543	524
556     514
464	501
500	501
512	492
533	508
541	505
542	471
524	460
506 	459
522	453
526	453
495	440
493	422
513	423
494	412
512	411
483	400
510	391
394	378
468	360
479	361
485	365
493	365
497	359
172	370
328	323
506	311
471	338
483	344
353	285

# b = -15/670
# a = -8 - 100*b
# MB = a + b * dM
# log10(LB) = -0.4*(MB-5.48)
# => log10(LB) = -0.4*((-15*dM/670+(-8-100*(-15/670)))-5.48)

# b = 3/668
# a = -105*b
# vcirc = a + b * vc
# => log10(Vcirc) = -105*3/668 + vc*3/668
