#Vcirc	Mstar	Mgas	value	value	value	value	value M/L	value	value
#vc  M*/1e10 Mg/1e10 ?     ?     ?     ?     ?    M/L*
300  30.8    5.0     22.0  13.0  0.47  2.6   0.8  1.5	-1.0	0.0
287  32.3    1.7     21.   14.6  0.74  7.9   2.2  3.8  	2.313  	0.008
250  19.0    3.0     23.0  11.4  0.77  27.0  2.5  3.4  	-1.0 	0.0
242  18.0    3.9     22.5  8.3 	 0.57  18.0  1.1  2.6  	-1.0 	0.0
214  9.7     1.1     20.7  4.0 	 0.78  4.7   2.6  3.9  	-1.0 	0.0
213  8.3     3.0     20.3  5.4 	 0.45  2.8   0.7  1.2  	1.961  	0.094
208  11.5    1.0     21.4  7.9 	 0.65  3.4   1.6  1.6  	-1.0 	0.0
195  8.8     0.93    23.0  5.8   0.55  4.6   1.0  4.6  	2.119  	0.022
188  4.20    0.56    20.3  2.3 	 0.56  2.6   1.1  2.0  	2.024  	0.088
185  4.83    0.79    21.3  5.0 	 0.66  3.1   1.6  2.4  	1.955  	0.020
185  5.5     0.31    20.5  2.0 	 0.55  3.6   1.0  3.6  	2.005  	0.028
178  4.25    0.25    21.4  4.2 	 0.77  2.4   2.5  2.2  	1.961  	0.020
175  6.5     0.63    20.5  2.4 	 0.68  3.8   1.8  2.7  	-1.0 	0.0
160  2.7     2.7     21.7  5.6 	 0.40  1.1   0.6  0.5  	-1.0 	0.0
155  3.5     0.05    21.1  1.2 	 0.65  7.0   1.6  5.8  	2.066  	0.039
131  0.57    0.91    24.2  9.2 	 0.60  5.0   1.3  1.1  	-1.0 	0.0
124  0.66    0.34    23.3  3.2 	 0.57  5.4   1.1  3.0 	-1.0 	0.0
121  0.83    0.24    21.9  1.7 	 0.57  1.7   1.1  1.7 	1.661  	0.018
120  0.44    0.39    23.1  4.0 	 0.61  4.3   1.3  1.3 	-1.0 	0.0
111  0.55    0.32    22.1  2.1 	 0.51  3.6   0.9  1.8  	-1.0 	0.0
111  0.40    0.39    23.6  4.3 	 0.64  9.0   1.5  3.0  	-1.0 	0.0
110  0.54    0.20    22.9  3.4 	 0.53  3.5   1.0  1.4  	-1.0 	0.0
110  0.42    0.31    22.3  3.0 	 0.59  2.1   1.2  0.8  	-1.0 	0.0
107  0.48    0.13    21.1  1.7 	 0.55  1.2   1.0  0.6  	1.571  	0.158
107  0.40    0.13    23.4  2.9 	 0.54  3.0   1.0  1.1  	-1.0 	0.0
100  0.41    0.10    20.3  1.1 	 0.63  1.9   1.4  1.2  	-1.0 	0.0
90   0.12    0.25    21.9  1.4 	 0.46  0.8   0.7  0.5  	-1.0 	0.0
86   0.10    0.13    21.5  1.6 	 0.54  1.0   1.0  0.2  	-1.0 	0.0
86   0.22    0.05    22.3  1.3 	 3.9   3.9   3.9  2.1  	-1.0 	0.0
72   0.034   0.098   23.2  1.3 	 0.57  4.1   1.1  1.0  	-1.0 	0.0
66   0.010   0.067   23.4  2.2 	 0.42  0.6   0.6  0.1  	-1.0 	0.0
64   0.024   0.061   24.1  1.3 	 15.0  15.0  15.0 1.5  	-1.0 	0.0
62   0.005   0.068   23.1  1.6 	 0.47  1.0   0.8  0.1 	-1.0 	0.0
56   0.004   0.045   23.2  0.5 	 0.32  2.0   0.4  0.1  	-1.0 	0.0
54   0.005   0.032   23.4  0.9 	 0.32  0.6   0.4  0.2 	-1.0 	0.0
#51   23e-4   714e-4
#48   119e-4  36e-4
#44   25e-4   224e-4
#38   31e-4   65e-4
#36   12e-4   98e-4
# dM(i) = log10(dmster*1d10/dml)
# vc(i) = log10(vc(i))

