# M_B	Vcirc	dVcirc	log10(Vcirc)	-M_I	-M_R
-21.6	542	10	2.712	22.98	22.48
-18.56	166	7	2.300	19.46	19.20
-18.46	206	7	2.317	19.95	19.55
-19.57	224	6	2.387	20.93	20.60
-21.69	403	6	2.696	23.48	22.82
-21.06	375	5	2.568	22.32	22.01
-19.59	299	6	2.445	21.28	20.77
-19.39	256	10	2.406	20.50	20.16
-18.72	212	5	2.294	19.81	19.47
-20.90	444	7	2.676	22.62	22.04
-20.53	321	5	2.484	21.59	21.23
-19.25	223	6	2.345	20.41	19.96
-19.87	291	6	2.531	21.70	21.13	
-20.49	366	7	2.637	22.37	21.84
-19.93	286	6	2.444	21.10	20.69
-21.14	381	5	2.626	22.65	22.23
-21.15	442	5	2.628	22.55	22.36
-21.09	409	8	2.645	22.74	22.25
-20.81	292	5	2.568	22.40	21.86
-20.54	353	6	2.529	22.02	21.53
-21.27	382	8	2.655	22.79	22.40
-19.90	303	7	2.514	21.60	21.05
-21.22	418	4	2.624	22.84	22.38
-21.71	527	4	2.724	23.44	23.02
-17.43	173	20	2.163	18.69	18.36
-18.05	156	9	2.196	18.93	18.70
-20.92	481	5	2.678	22.55	22.00
-20.76	294	6	2.504	22.16	21.67
-19.38	279	15	2.496	21.22	20.65
-19.24	263	8	2.366	20.72	20.29
-17.76	199	11	2.221	19.17	18.80
-20.60	359	7	2.510	22.21	21.72
-17.09	119	7	2.026	18.26	17.87
-20.57	351	25	2.543	21.90	21.45
-19.64	295	6	2.415	21.07	20.62
-17.22	141	7	2.184	18.37	17.86
-17.37	176	12	2.161	18.44	18.07
-20.21	286	6	2.497	21.33	20.95
-21.05	426	5	2.641	22.79	22.20
-18.99	266	11	2.367	20.43	19.99
-18.56	202	8	2.295	19.80	19.45
-18.35	179	10	2.257	19.69	19.27
-17.83	174	6	2.176	19.16	18.67
-21.26	479	5	2.690	22.84	22.34
-20.15	409	7	2.570	22.11	21.45	
-19.08	176	7	2.379	20.46	20.01
-19.17	346	10	2.514	21.25	20.63	
-18.58	197	7	2.315	19.56	19.31
-20.62	267	8	2.475	22.17	21.65
-19.15	304	7	2.432	20.65	20.13
-20.93	373	5	2.548	22.39	21.93
-18.03	159	7	2.104	19.21	18.91
-20.49	404	9	2.575	21.95	21.47
-16.72	112	20	1.967	18.18	17.75
-19.81	328	11	2.537	21.68	21.17
-19.50	329	10	2.566	21.50	20.93
-20.63	425	7	2.586	22.28	21.76
-19.36	256	7	2.340	20.39	20.08
-17.88	156	8	2.182	19.06	18.69
-20.32	421	13	2.588	22.24	21.53
-19.95	372	15	2.535	21.85	21.23
-19.04	192	8	2.317	20.63	20.20
-20.30	404	8	2.557	21.85	21.34
-18.90	236	10	2.324	20.16	19.79
-19.37	310	9	2.430	20.57	20.18
-19.13	257	15	2.336	20.26	19.90
-19.35	242	7	2.386	20.74	20.37
-20.28	289	7	2.470	21.30	21.01
-20.85	397	7	2.549	22.40	21.91
-19.67	295	8	2.437	20.67	20.34
-20.33	414	8	2.569	21.77	21.45
-21.53	475	15	2.663	23.14	22.65
-19.47	257	9	2.343	20.66	20.33
-19.59	323	17	2.449	20.88	20.53
-19.97	395	15	2.576	21.50	21.02
-21.68	564	8	2.734	23.15	22.74
-20.50	422	7	2.581	21.69	21.34
-19.48	281	15	2.380	21.23	20.70
-19.96	258	15	2.487	21.42	20.97
-19.87	294	9	2.473	21.43	20.99
-20.01	293	8	2.407	21.29	20.84
-20.12	346	14	2.483	21.13	20.84
-21.37	528	12	2.693	23.05	22.54
-19.68	312	8	2.433	20.98	20.63
-21.40	527	15	2.701	23.12	22.56
-20.30	340	20	2.539	21.75	21.25
-20.88	416	8	2.586	22.45	21.97
-21.83	549	10	2.719	23.45	22.91
-20.88	367	7	2.512	21.95	21.63
-21.26	474	7	2.638	22.73	22.27
-19.87	264	15	2.472	21.30	20.89
-20.50	410	7	2.562	22.11	21.59
-19.94	327	8	2.567	21.89	21.31
-20.35	370	8	2.518	21.81	21.39
-20.51	337	9	2.561	21.77	21.42
-19.96	258	10	2.437	21.68	21.17
-20.29	382	9	2.535	21.53	21.20
-21.32	544	8	2.703	22.86	22.35
-19.57	339	7	2.500	21.06	20.60
-21.53	546	6	2.698	23.18	22.68
-20.14	346	14	2.489	21.73	21.26
-20.25	329	8	2.459	21.73	21.27
-20.70	394	7	2.587	22.35	21.85
-21.16	495	6	2.661	22.64	22.19
-20.58	390	7	2.543	22.21	21.71
-21.12	455	10	2.672	22.84	22.28	
-19.96	271	8	2.357	20.92	20.58
-21.64	560	7	2.708	23.07	22.57
-20.82	376	6	2.623	22.35	21.93
-19.69	291	8	2.420	20.92	20.52
-19.81	265	6	2.451	21.33	20.87
-20.51	382	9	2.569	22.20	21.78
-21.55	574	10	2.791	23.42	22.84
-20.55	308	7	2.455	21.72	21.35
-21.58	569	7	2.737	23.24	22.66
#   MB   Width
# log10(L_B) = -0.4*(M_B-5.48)
# log10(Vcirc) = log10(Vcirc) - 0.30103
