#Galaxy	MB	Reff	μR,s	err(μR,s)	rs	err(rs)	n	err(n)	(U-B)0	err(U-B)	(B-V)0	err(B-V)	(B-R)0	err(B-R)	(V-I)0 err(V-I)
VCC178	-15.37	0.68	19.85	0.03	4.06	0.12	0.87	0.01	0.24	0.05	0.77	0.08	1.27	0.04	1.01	0.03
VCC437	-16.79	1.73	19.10	0.04	2.34	0.14	0.52	0.01	0.28	0.05	0.79	0.07	1.31	0.04	1.05	0.03
VCC543	-16.59	1.40	18.82	0.04	1.94	0.12	0.54	0.01	0.26	0.05	0.78	0.07	1.30	0.04	1.05	0.03
VCC917	-15.49	0.61	19.02	0.04	2.36	0.11	0.74	0.01	-99	-99	0.73	0.07	1.24	0.04	0.99	0.03
VCC965	-15.44	1.08	20.94	0.03	7.79	0.22	0.93	0.02	-99	-99	0.75	0.07	1.25	0.04	0.98	0.03
VCC990	-16.31	0.75	17.88	0.06	1.38	0.08	0.58	0.01	0.23	0.05	0.79	0.07	1.29	0.04	1.03	0.03
VCC1036	-16.97	1.14	17.69	0.06	1.06	0.08	0.49	0.01	0.28	0.05	0.80	0.07	1.32	0.04	1.08	0.03
VCC1075	-15.81	1.23	20.06	0.04	3.92	0.20	0.67	0.01	-99	-99	-99	-99	1.28	0.04	-99	-99
VCC1122	-16.03	0.89	19.18	0.04	2.96	0.13	0.70	0.01	0.19	0.05	0.75	0.07	1.24	0.04	0.99	0.03
VCC1261	-17.38	1.51	18.30	0.04	2.26	0.13	0.55	0.01	-99	-99	0.77	0.07	1.27	0.04	1.04	0.04
VCC1308	-15.36	0.71	19.52	0.05	2.69	0.15	0.71	0.01	-99	-99	0.77	0.08	1.26	0.05	1.00	0.04
VCC1514	-15.53	1.07	20.76	0.03	7.04	0.25	0.88	0.02	0.24	0.06	0.74	0.09	1.21	0.05	1.00	0.04
VCC1743	-15.20	0.83	20.02	0.05	3.35	0.20	0.71	0.02	-99	-99	-99	-99	1.27	0.05	-99	-99
VCC1857	-15.81	1.50	21.85	0.01	16.96	0.27	1.24	0.02	-99	-99	-99	-99	1.13	0.04	-99	-99
VCC2019	-16.34	1.28	19.41	0.05	3.19	0.20	0.62	0.01	0.23	0.05	0.82	0.08	1.30	0.05	1.01	0.04
VCC2050	-15.51	0.82	19.76	0.04	3.57	0.16	0.74	0.01	0.19	0.05	0.78	0.08	1.27	0.03	1.03	0.05
