#Galaxy	M_B	MHILB	O_H	BmV
UGC1289	-13.38	2.5	7.56	0.40
UGC290	-14.48	2.6	7.8	0.31
UGC685	-14.44	0.8	8	0.46
UGC1104	-16.08	0.8	7.94	0.40
UGC1175	-14.13	6.6	7.82	0.26
UGC1281	-14.91	1.4	7.78	0.42
HKK97	-11.26	0.5	7.65	0.4
UGC2023	-16.54	0.6	8.02	0.44
UGC3647	-17.06	1.4	8.07	0.42
UGC3672	-15.43	2.5	8.01	0.27
UGC4117	-14.86	0.9	7.89	0.31
UGC4483	-12.55	2.0	7.56	0.40
CGCG001	-15.75	1.3	7.83	0.37
UGC5288	-14.44	1.8	7.90	0.46
UGCA292	-11.43	6.9	7.32	0.08
UGC8651	-12.96	1.1	7.85	0.40
UGC9240	-13.96	1	7.95	0.37
UGC9992	-14.97	1.2	7.88	0.37
UGC1044	-17.53	1	7.95	0.42
UGC1175	-17.14	0.1	8.04	0.50
UGC1271	-14.76	0.9	7.8	0.46
LeoA	-11.52	1.3	7.3	0.26
GR8	-12.12	0.8	7.65	0.38
UGC9128	-12.63	1.1	7.75	0.25
UGC2684	-13.03	2.8	7.60	0.34
UGC8024	-13.33	7.3	7.67	0.40
UGCA20	-14.13	2.6	7.60	0.30
UGC3174	-14.76	2.2	7.80	0.41
UGC521	-15.17	2.2	7.86	0.30
UGC5764	-15.3	0.7	7.95	0.40
UGCA357	-15.50	3.4	8.05	0.41
UGC891	-15.53	1.8	8.20	0.46
UGC5716	-15.53	2.5	8.10	0.42
UGC300	-15.72	1.4	7.80	0.50
Haro43	-16.31	2	8.20	0.41
UGC5829	-16.6	1.3	8.30	0.40
UGC1182	-16.94	2.1	8	0.37
UGC191	-17.52	0.9	8.1	0.46
UGC634	-17.67	2	8.18	0.39
UGC2984	-18.89	0.5	8.3	0.20
