#M_B	mu0	alpha
-17.52	22.32	1.91
-17.13	26.74	2.2
-14.48	24.91	1.14
-14.17	23.11	0.62
-12.93	23.17	0.38
-17.67	23.13	2.89
-14.74	21.46	0.37
-15.53	23.42	1.25
-16.08	21.06	0.44
-14.13	22.55	0.51
-14.91	23.93	0.92
-16.27	22.64	1.28
-16.54	22.82	1.57
-17.33	22.69	2.38
-18.38	22.68	3.86
-17.92	24.46	4.12
-16.92 	24.21 	3.65
-17.06	21.79 	1.44
-15.43	22.62 	0.87 
-14.86	22.57 	0.58
-15.90	24.36 	1.97
-16.70	22.16 	1.25
-16.29	22.13 	0.92
-15.75	20.53 	0.37
-14.44	20.57 	0.23
-16.39	22.43 	1.19
-12.63	22.78 	0.24
-15.43	23.68 	1.49
-16.33	22.60 	1.11
-14.60	21.55 	0.34
-16.77	22.87 	2.27
-14.97	22.84 	0.71
-18.13	22.02 	2.28
-16.81	22.63 	1.78
-16.06 	21.35 	0.59
-17.53	21.79 	1.49
-13.65	23.76 	0.69
-15.56	23.87 	1.25
-17.17	21.81 	1.20
-16.35	22.85 	1.46
-10.96	24.36 	0.18
-17.14	22.56 	1.35
-17.44	22.19 	2.08
-17.19	24.30 	4.32
-15.41	22.95 	1.13
-16.35	22.93 	1.41
-16.73	19.74 	0.30
-12.20	24.34 	0.38
-14.76	22.56 	0.45
