#Galaxy		B-V	err(B-V)	U-B	err(U-B)	MB
UGC191		0.59	0.03		-0.23	0.05	-17.52
UGC231		0.67	0.02		-99	-99	-17.13
UGC290		0.42	0.05		-0.15	0.09	-14.48
UGCA9		0.40	0.04		-0.18	0.07	-14.17
UGCA15		0.32	0.06		-0.21	0.11	-12.93
UGC634		0.46	0.03		-0.26	0.06	-17.67
UGC685		0.52	0.02		-0.18	0.04	-14.74
UGC891		0.50	0.03		-0.14	0.06	-15.53
UGC1104		0.47	0.01		-0.23	0.02	-16.08
UGC1175		0.31	0.04		-0.28	0.06	-14.13
UGC1281		0.47	0.03		-0.20	0.04	-14.91
UGC1501		0.46	0.03		-0.21	0.04	-16.27
UGC2023		0.54	0.04		-0.19	0.07	-16.54
UGC2345		0.48	0.06		-0.17	0.09	-17.33
UGC2603		0.70	0.08		0.01	0.22	-18.38
UGCA61		0.40	0.04		-0.32	0.08	-17.92
UGC3371		0.72	0.07		-0.02	0.17	-16.92
UGC3647		0.48	0.03		-0.31	0.05	-17.06
UGC3672		0.35	0.05		-0.42	0.06	-15.43
UGC4117		0.36	0.02		-0.25	0.04	-14.86
UGC4121		0.51	0.06		-0.17	0.08	-15.90
UGC4325		0.47	0.03		-0.21	0.03	-16.70
UGC5205		0.38	0.02		-0.04	0.04	-16.29
CGCG007-025	0.44	0.02		-0.46	0.10	-15.75
UGC5288		0.50	0.06		-0.24	0.06	-14.44
UGC5414		0.38	0.03		-0.29	0.04	-16.39
UGC9128		0.28	0.05		-0.16	0.04	-12.63
UGC9211		0.33	0.07		-0.40	0.11	-15.43
UGC9219		0.42	0.03		-0.20	0.04	-16.33
UGC9240		0.38	0.03		-0.22	0.04	-14.60
UGC9500		0.48	0.05		-0.16	0.09	-16.77
UGC9992		0.41	0.04		-0.14	0.05	-14.97
UGC10054	0.49	0.04		-0.10	0.06	-18.13
UGC10310	0.40	0.05		-0.26	0.08	-16.84
UGC10351	0.47	0.03		-0.16	0.04	-16.06
UGC10445	0.46	0.03		-0.27	0.04	-17.53
UGC10669	0.49	0.08		-0.15	0.08	-13.65
UGC10792	0.53	0.04		-0.10	0.10	-15.56
UGC10805	0.58	0.05		-0.09	0.10	-17.17
UGC10991	0.36	0.04		-0.36	0.06	-16.35
DDO210		0.39	0.06		-0.05	0.11	-10.96
UGC11755	0.57	0.03		-0.14	0.03	-17.14
UGC11782	0.46	0.04		-0.17	0.06	-17.44
UGC11944	0.48	0.03		-0.15	0.07	-17.19
UGCA433		0.39	0.06		-0.26	0.10	-15.41
UGC12212	0.53	0.04		-0.25	0.06	-16.35
UGCA439		0.46	0.03		-0.27	0.03	-16.73
UGC12613	0.64	0.04		0.00	0.09	-12.20
UGC12713	0.53	0.03		-0.12	0.04	-14.76
