#M_g	gmr	rmi
-15.01	0.05	0.15
-19.98	0.49	0.26
-18.51	0.35	0.16
-15.97	0.44	0.26
-16.46	0.40	0.13
-14.7	0.45	0.14
-16.30	0.53	0.29
-14.74	0.37	0.18
-19.90	0.3	0.36
-20.46	0.46	0.24
-19.28	0.1	0.25
-17.31	0.3	0.2
-17.60	0.21	0.16
-14.37	0.29	0.14
-13.71	0.36	0.32
-13.68	0.35	0.17
-11.93	0.43	0.02
-15.53	0.13	0.04
-11.78	0.32	0.03
-17.34	0.35	0.17
-18.64	0.26	0.24
-16.24	0.17	-0.03
-17.41	0.18	0.04
-15.71	0.44	0.27
-16.28	0.44	0.27
-17.82	0.49	0.26
-16.84	0.48	0.31
-18.36	0.54	0.29
-15.98	0.42	0.16
