#name	e	de	v	dv	s	ds	MI	re_(")	mueff	<s>	d<s>	MB	D	name	c4	d	dfe	d	m0	n	d	re_in_kpc	
# derijcke2005.dat data, with some other columns
# mu_0_V = m0 + 0.55
# V-I = 0.198*dfe+1.207
FCC043	2.55    0.18	50.1	4.3	30.2	2.3	-19.39	16.9	20.22	56.4	3.7	-17.56	19.7	043	-0.0042	1.33	-0.07	2.29	18.44	2.17	dE      1.61404464
FCC046	3.58	0.20	5.9	4.2	44.0	3.3	-16.99	6.7	20.61	61.4	5.0	-15.48	19.7	046	0.0080	1.07	-1.07	1.15	19.60	1.24	dEN	0.63988752
FCC136	2.07	0.33	7.8	4.1	31.2	2.5	-18.21	14.2	21.02	64.3	3.8	-16.66	19.7	136	0.0187	1.79	-0.26	5.34	19.09	1.71	dEN	1.35617952
FCC150	1.93	0.09	5.3	4.1	36.8	5.5	-17.27	5.7	19.98	63.8	3.9	-15.77	19.7	150	-0.0083	1.82	-0.38	3.88	18.47	1.65	dE	0.54438192
FCC204	6.07	0.44	70.8	6.2	31.5	1.8	-18.06	11.5	20.71	67.2	4.4	-16.71	19.7	204	0.0133	0.99	0.07	2.46	19.53	1.29	dEN	1.0983144
FCC207	1.53	0.17	2.8	3.2	35.4	3.5	-17.08	8.4	21.01	60.9	6.6	-15.28	19.7	207	-0.0027	1.24	-0.72	1.47	19.79	1.32	dE	0.80224704
FCC245	1.07	0.26	6.5	5.2	16.6	5.1	-16.87	11.4	21.88	39.5	4.2	-15.47	19.7	245	0.0055	1.38	-0.59	5.06	20.68	1.35	dEN	1.08876384
FCC266	1.06	0.33	4.2	4.0	28.2	5.4	-16.90	7.1	20.82	42.4	3.4	-15.57	19.7	266	0.0129	1.04	-0.47	3.95	19.91	1.08	dEN	0.67808976
FCC288	7.22	0.24	59.5	3.8	37.8	3.3	-17.61	9.5	20.75	48.5	3.3	-16.37	19.7	288	0.0150	0.88	-0.57	4.17	19.55	1.11	dE	0.907303201
FS029	5.05	0.31	73.7	6.3	30.8	2.0	-19.15	8.9	21.47	59.6	3.6	-17.03	35.1	029	-1	1.81	0.01	2.89	18.55	1.79	dE	1.51446672
FS076	0.71	0.17	9.9	3.1	46.9	2.5	-18.32	4.4	21.86	56.8	3.8	-16.53	35.1	076	-1	1.76	0.09	6.40	17.29	2.02	dE	0.74872512
FS131	5.40	0.46	24.7	6.5	54.4	1.9	-19.24	8.1	22.27	87.0	3.2	-17.43	35.1	131	-1	2.17	-0.03	4.43	17.48	2.35	dEN	1.37833488
FS373	2.28	0.11	16.4	6.1	45.5	1.2	-19.29	7.9	21.79	73.1	3.1	-17.50	40.7	373	-1	3.14	0.01	4.43	999	999	dE 	1.55877744
#NGC5898_1	5.71	0.50	10.1	3.7	42.5	3.7	-17.87	5.9	21.15 	44.2	3.4	-16.31	30.3	002	-1	1.33	-0.26	4.34	19.63	1.27	dE/dw1	0.86667696
#NGC5898_2	3.43	1.10	21.2	3.4	39.2	2.3	-18.76	8.7	21.54	43.5	3.0	-16.75	30.3	003	-1	1.46	-0.58	1.07	19.13	1.53	dE/dw2	1.27798128
