#M_star	M_HI	
5.76  5.98
5.88	6.64
6.99	7.33
6.81	7.45
7.24	7.54
6.94	7.30
6.76	7.32
7.26	7.56
6.67	7.85
7.72	7.93
7.78	8.32
7.58	7.96
7.34	7.75
7.34	8.02
7.57	7.78
7.20	7.56
7.24	8.45
6.97	7.94
6.88	8.29
8.07	8.74
7.28	7.85
8.25	8.46
7.63	8.62
7.77	8.58
8.45	9.09
8.12	9.21
7.41	8.79
8.09	9.02
7.41	9.06
8.94	9.20
9.22	9.28
8.75	9.32
8.70	9.23
8.36	8.96
8.17 	9.05
8.30 	9.04
9.00	9.33
8.96	9.32
7.99	8.78
8.98	9.27
8.92	9.01
9.53	9.74
9.41	9.63
9.50	9.87
9.62	9.71
9.38	9.65
9.61	9.77
10.12	10.29
