#~~~                                                                                                             ~~~
#~~ These are the galaxies with HI interferometric observations used to make Fig. 4 in Papastergis & Shankar 2015 ~~
#~~~                                                                                                             ~~~
#
#name, sample, Rout,   Vout, Vout_err_low, Vout_err_high, Vrot,    M*,    Mbar,  Vh_nfw, Mh_nfw,  Vh_dc14,  Mh_dc14
# ()    ()     (kpc)  (km/s)    (km/s)        (km/s)      (km/s) (Msun)  (Msun)   (km/s)  (Msun)   (km/s)   (Msun) 
#---------------------------------------------------
UGC685,FIGGS,2.36,51.7,2.75,2.75,54.8,7.53,8.03,82.5,11.01,111.3,11.40
KKH6,FIGGS,1.41,28.0,3.66,3.66,28.0,6.84,7.31,41.4,10.05,58.6,10.51
KK14,FIGGS,2.51,21.3,1.52,1.52,19.6,6.56,7.52,23.3,9.23,23.2,9.32
KKH11,FIGGS,3.14,56.3,3.14,3.14,46.2,7.03,7.91,81.1,10.99,85.8,11.03
KK41,FIGGS,4.93,32.3,1.97,1.97,38.5,7.70,8.14,34.6,9.79,34.3,9.80
UGCA92,FIGGS,3.94,37.0,3.00,3.00,33.9,7.48,8.39,41.7,10.06,45.6,10.25
KK44,FIGGS,1.55,20.0,2.10,2.10,12.2,6.76,7.34,23.6,9.25,27.7,9.56
KKH34,FIGGS,1.74,20.1,1.38,1.38,15.3,6.60,7.24,22.3,9.17,23.8,9.36
UGC3755,FIGGS,3.04,20.2,2.73,2.73,24.0,7.93,8.26,23.0,9.21,23.3,9.17
DDO43,FIGGS,5.67,36.0,2.16,2.16,36.5,7.64,8.49,38.5,9.94,38.4,10.00
KK65,FIGGS,2.33,18.5,2.90,2.90,22.8,7.75,8.03,21.7,9.13,21.4,9.02
UGC4115,FIGGS,6.54,58.5,2.58,2.58,50.9,7.84,8.66,64.8,10.68,71.3,10.86
UGC5456,FIGGS,2.28,39.8,5.29,5.29,36.0,7.89,8.19,59.3,10.55,116.0,11.47
UGC6145,FIGGS,2.91,40.9,2.90,2.90,25.1,6.94,7.65,50.9,10.34,58.8,10.52
NGC3741,FIGGS,6.37,46.7,2.50,2.50,45.0,6.95,8.35,50.3,10.32,50.8,10.34
UGC7242,FIGGS,3.14,39.9,3.03,3.03,39.2,7.31,7.90,48.2,10.26,59.8,10.58
KK144,FIGGS,4.31,27.8,3.95,3.95,22.4,7.11,8.08,32.2,9.69,32.2,9.77
DDO125,FIGGS,2.55,22.9,2.74,2.74,16.2,7.59,7.91,26.4,9.41,25.6,9.27
UGC8055,FIGGS,10.63,67.5,2.72,2.72,60.5,7.96,9.05,71.7,10.82,73.5,10.90
UGC8215,FIGGS,2.29,20.0,4.00,4.00,17.4,6.71,7.52,24.5,9.31,25.5,9.45
UGC8508,FIGGS,2.50,40.1,2.30,2.30,28.7,7.05,7.70,51.2,10.34,64.1,10.64
DDO181,FIGGS,2.34,29.9,4.00,4.00,24.5,7.01,7.66,37.6,9.91,46.2,10.23
DDO183,FIGGS,2.17,24.7,1.85,1.85,15.6,7.01,7.65,27.9,9.49,31.4,9.74
UGC8833,FIGGS,1.40,26.7,3.01,3.01,31.7,6.73,7.40,37.3,9.90,51.3,10.33
P51659,FIGGS,3.40,30.5,2.58,2.58,25.0,6.42,7.86,34.0,9.77,34.4,9.80
